# title: IT用語
# category: 一般
# IT用語
人工知能	じんこうちのう
機械学習	きかいがくしゅう
非同期処理	ひどうきしょり
環境変数	かんきょうへんすう
仮想マシン	かそうましん
負荷分散	ふかぶんさん
静的型付け	せいてきかたづけ
再帰関数	さいきかんすう
例外処理	れいがいしょり
単体テスト	たんたいてすと
競合状態	きょうごうじょうたい
文字コード	もじこーど
脆弱性診断	ぜいじゃくせいしんだん
分散システム	ぶんさんしすてむ
二段階認証	にだんかいにんしょう
暗号化通信	あんごうかつうしん
公開鍵暗号	こうかいかぎあんごう
正規表現	せいきひょうげん
構文解析	こうぶんかいせき
動的計画法	どうてきけいかくほう
二分探索	にぶんたんさく
計算量の見積もり	けいさんりょうのみつもり
排他制御	はいたせいぎょ
遅延評価	ちえんひょうか
型推論	かたすいろん
依存関係	いぞんかんけい
継続的インテグレーション	けいぞくてきいんてぐれーしょん
仮想化技術	かそうかぎじゅつ
冗長構成	じょうちょうこうせい
障害対応	しょうがいたいおう
死活監視	しかつかんし
負荷試験	ふかしけん
権限管理	けんげんかんり
認証基盤	にんしょうきばん
分散処理	ぶんさんしょり
並列処理	へいれつしょり
非機能要件	ひきのうようけん
要件定義	ようけんていぎ
結合テスト	けつごうてすと
疎結合な設計	そけつごうなせっけい
技術的負債	ぎじゅつてきふさい
品質保証	ひんしつほしょう
